Title,Carousell URL,Source Cost
"Interactive Pet Ball Toy Self Moving Bouncing Rolling | Dog Cat Toy | Automatic Smart Mode Motion Activated | Indoor Home Play Exercise | Durable Silicone Plastic Chew Resistant | Portable Rechargeable","https://www.carousell.sg/p/smart-interactive-pet-ball-automatic-self-moving-rolling-toy-dog-cat-chasing-bouncing-ball-usb-c-rechargeable-boredom-breaker-motion-activated-indoor-pet-exercise-silicone-smart-teasing-ball-toy-for-puppy-kitten-1430515256/?t-id=52299420_1775468191852","$12.38"
"Keyboard Cleaning Brush Laptop Dust Removal Tool | Portable Mini PC Keyboard Cleaner | Desk Office Home Cleaning Kit | Minimalist Handheld Brush | Plastic Gap Tool | Travel Gadget","https://www.carousell.sg/p/mini-pc-keyboard-cleaning-kit-anti-static-dust-brush-laptop-computer-screen-cleaner-portable-electronics-cleaning-tool-office-desk-maintenance-kit-mechanical-keyboard-keycap-puller-camera-lens-cleaning-brush-1430519933/?t-id=52299420_1775468191852","$5.90"
"Keyboard Cleaning Kit Multi Tool Set | Earbud Cleaner Pen Brush | Portable Desk Office Car Gadget Cleaner | Laptop Keycap Dust Remover | Minimalist Travel Care Kit | Electronics Detail Tools","https://www.carousell.sg/p/7-in-1-keyboard-cleaning-kit-earbud-cleaning-pen-for-airpods-computer-screen-cleaner-mechanical-keyboard-keycap-puller-laptop-dust-brush-mobile-phone-charging-port-cleaner-portable-electronics-maintenance-set-1430520669/?t-id=52299420_1775468191852","$7.90"
"Plush Teddy Bear with Blue Hoodie | Soft Cuddly Stuffed Animal | Kids Birthday Gift Baby Shower | Aesthetic Room Decor Soft Toy | Fluffy Bear Plushie | Korean Style Interior Decoration | Cute Children Nursery Toy","https://www.carousell.sg/p/plush-teddy-bear-with-blue-hoodie-soft-cuddly-stuffed-animal-kids-birthday-gift-baby-shower-aesthetic-room-decor-soft-toy-fluffy-bear-plushie-korean-style-interior-decoration-cute-children-nursery-toy-1430547787/?t-id=52299420_1775468191852","$6.90"
"Bamboo Bolster Case and Pillowcase | Cooling Breathable Soft Material | Home Bedroom Bedding | Tencel Organic Fiber Silk Texture | Nordic Minimalist Solid Colors | Hypoallergenic Pillow Cover | Sleep Essentials","https://www.carousell.sg/p/bamboo-bolster-case-and-pillowcase-cooling-breathable-soft-material-home-bedroom-bedding-tencel-organic-fiber-silk-texture-nordic-minimalist-solid-colors-hypoallergenic-pillow-cover-sleep-essentials-1430552233/?t-id=52299420_1775468191852","$6.99"
"Flower Bathroom Mat | Anti-Slip Absorbent Bath Rug | Nordic Daisy Entrance Doormat | Tufted Microfiber Carpet For Home Toilet Shower Kitchen","https://www.carousell.sg/p/bathroom-mat-anti-slip-absorbent-bath-rug-nordic-daisy-entrance-doormat-tufted-microfiber-carpet-for-home-toilet-shower-kitchen-1430556349/?t-id=52299420_1775468191852","$12.90"
"Ceramic Dinnerware Set | Nordic Marble Gold Rim Plates Bowls | Home Kitchen Dining Tableware | Luxury Housewarming Gift Wedding Present","https://www.carousell.sg/p/ceramic-dinnerware-set-nordic-marble-gold-rim-plates-bowls-home-kitchen-dining-tableware-luxury-housewarming-gift-wedding-present-1430683402/?t-id=52299420_1775549478534","$12.42"
"Velvet Clothes Hangers 50 Pack | Non Slip Space Saving Slim Design | Closet Wardrobe Organizer | Premium Flocked Suit Shirt Dress Hangers | Heavy Duty Rotating Hook Home Storage","https://www.carousell.sg/sell?source=nav_bar","$3.45"
"Cute Duck LED Night Light | Squishy Silicone Dimmable Lamp | Kids Bedroom Nursery Decor | USB Rechargeable Portable Bedside Light | Kawaii Animal Lamp Birthday Gift | Touch Sensor Soft Nightlight Warm White Light","https://www.carousell.sg/p/cute-duck-led-night-light-squishy-silicone-dimmable-lamp-kids-bedroom-nursery-decor-usb-rechargeable-portable-bedside-light-kawaii-animal-lamp-birthday-gift-touch-sensor-soft-nightlight-warm-white-light-1430686771/?t-id=52299420_1775549478534","$14.20"
"Silicone Snack Container Set | Leakproof Airtight Food Storage | School Office Travel Picnic | Nordic Minimalist Baby Food Grade Bento Box | Round Stackable Sauce Bowl Fruit Container Kids Lunch Box Essentials","https://www.carousell.sg/p/silicone-snack-container-set-leakproof-airtight-food-storage-school-office-travel-picnic-nordic-minimalist-baby-food-grade-bento-box-round-stackable-sauce-bowl-fruit-container-kids-lunch-box-essentials-1430690641/?t-id=52299420_1775549478534","$12.40"
"Glass Coffee Cup with Straw and Lid | Ribbed Ripple Aesthetic Design | Office Home Glassware Drinkware | Korean Minimalist Iced Latte Tea Tumbler Mug Water Cup Heat Resistant Glass Storage Drinking Vessel","https://www.carousell.sg/p/glass-coffee-cup-with-straw-and-lid-ribbed-ripple-aesthetic-design-office-home-glassware-drinkware-korean-minimalist-iced-latte-tea-tumbler-mug-water-cup-heat-resistant-glass-storage-drinking-vessel-1430692354/?t-id=52299420_1775549478534","$5.00"
